scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,Probit,0.00017319704594634597,4.882787251887689e-05,,-0.10973551696603132,0.6705490657956095,0.055716359944562074,0.02491935959487848
Random - Small Var,LL-Softmax,0.0005382655958116329,0.0002762077453123818,5.428424423590998e-05,-0.13118874593862398,0.5133166811270832,0.041087241300801894,0.02964389037457654
Random - Small Var,MM-Softmax,3.8582333761026653e-05,1.0144076197052048e-05,3.973449564033625e-05,-0.13118874593862398,0.5133166811270832,0.041087241300801894,0.02964389037457654
Random - Small Var,MM-Remax,0.0003790306100882787,0.0005002356181941371,0.0002501585169856793,-0.13118874593862398,0.5133166811270832,0.041087241300801894,0.02964389037457654
Random - Small Var,Probit,0.00012409560436443882,3.057107375036171e-05,,-0.13118874593862398,0.5133166811270832,0.041087241300801894,0.02964389037457654
Random - Small Var,LL-Softmax,0.0002704225291727827,0.0001469176017654386,6.662738007284163e-05,-0.03326844561049281,0.4027033235605014,0.03792664602641991,0.01637081983661961
Random - Small Var,MM-Softmax,4.9640422576718855e-05,5.625058042730161e-06,6.087020344588006e-05,-0.03326844561049281,0.4027033235605014,0.03792664602641991,0.01637081983661961
Random - Small Var,MM-Remax,0.00027852170572898843,0.0016482696196603221,0.0005199441527907954,-0.03326844561049281,0.4027033235605014,0.03792664602641991,0.01637081983661961
Random - Small Var,Probit,5.8295465023089355e-05,2.313457456710286e-05,,-0.03326844561049281,0.4027033235605014,0.03792664602641991,0.01637081983661961
Random - Small Var,LL-Softmax,0.00041447050804581804,0.000175005247437444,0.00011758089053821383,0.012867632483623792,0.4179583985947034,0.05972877063082194,0.030397720975022514
Random - Small Var,MM-Softmax,6.955926404155905e-05,8.354566604377642e-06,8.498562014994108e-05,0.012867632483623792,0.4179583985947034,0.05972877063082194,0.030397720975022514
Random - Small Var,MM-Remax,0.00031896770769805237,0.0006920958533388084,0.00039376896738358834,0.012867632483623792,0.4179583985947034,0.05972877063082194,0.030397720975022514
Random - Small Var,Probit,0.00017907813033352926,3.945367069610254e-05,,0.012867632483623792,0.4179583985947034,0.05972877063082194,0.030397720975022514
Random - Small Var,LL-Softmax,0.00014619208756522784,0.00014059323632903132,4.924915316391839e-05,0.016607220133024757,0.24952210050000875,0.05261340462973767,0.018704663164381005
Random - Small Var,MM-Softmax,5.55069370046915e-05,7.487298911213429e-06,5.9204883836199524e-05,0.016607220133024757,0.24952210050000875,0.05261340462973767,0.018704663164381005
Random - Small Var,MM-Remax,0.0007119039772080309,0.0017310009815237864,0.00032518058479376777,0.016607220133024757,0.24952210050000875,0.05261340462973767,0.018704663164381005
Random - Small Var,Probit,0.00011244233563238032,2.839709482997529e-05,,0.016607220133024757,0.24952210050000875,0.05261340462973767,0.018704663164381005
Random - Small Var,LL-Softmax,0.0004897552656115088,0.0002761697705747958,9.447914038470115e-05,0.05463001790091787,0.5605234435647528,0.05272901751189155,0.0270222735818851
Random - Small Var,MM-Softmax,7.743611166004908e-05,1.2102600037797251e-05,7.726433728063968e-05,0.05463001790091787,0.5605234435647528,0.05272901751189155,0.0270222735818851
Random - Small Var,MM-Remax,0.00015787641847566893,0.0005838994618903079,0.00029287895779966293,0.05463001790091787,0.5605234435647528,0.05272901751189155,0.0270222735818851
Random - Small Var,Probit,0.00010253146164354541,2.1557208543698044e-05,,0.05463001790091787,0.5605234435647528,0.05272901751189155,0.0270222735818851
Random - Small Var,LL-Softmax,0.0003477516010616924,0.00019579339987032418,9.802378693795173e-05,-0.019077857560808494,0.2857726705283433,0.05284535307903525,0.023811384453275946
Random - Small Var,MM-Softmax,3.523690205757824e-05,8.539382336547651e-06,4.58198806074093e-05,-0.019077857560808494,0.2857726705283433,0.05284535307903525,0.023811384453275946
Random - Small Var,MM-Remax,0.0004667836106991244,0.003055189438212878,0.0005308056230539603,-0.019077857560808494,0.2857726705283433,0.05284535307903525,0.023811384453275946
Random - Small Var,Probit,9.62233318257788e-05,2.9382000451844516e-05,,-0.019077857560808494,0.2857726705283433,0.05284535307903525,0.023811384453275946
Random - Small Var,LL-Softmax,0.0002946223731073467,0.00030608059004212456,0.00010189242173101526,0.14403596035727947,0.5675746065287377,0.06715617306200074,0.02314243396562396
Random - Small Var,MM-Softmax,7.869477313145294e-05,1.27005572565192e-05,8.846537718662015e-05,0.14403596035727947,0.5675746065287377,0.06715617306200074,0.02314243396562396
Random - Small Var,MM-Remax,0.0001939508397208403,0.00041955879072750403,0.0002866014686532216,0.14403596035727947,0.5675746065287377,0.06715617306200074,0.02314243396562396
Random - Small Var,Probit,0.00013987846731685626,3.2069092838966584e-05,,0.14403596035727947,0.5675746065287377,0.06715617306200074,0.02314243396562396
Random - Small Var,LL-Softmax,0.0002766481791364149,0.00020325633287249876,4.595301453127802e-05,-0.1690119817752569,0.505642139078532,0.04391212371065416,0.0232372269192017
Random - Small Var,MM-Softmax,2.8403367178230636e-05,6.025808819943534e-06,3.747664294652662e-05,-0.1690119817752569,0.505642139078532,0.04391212371065416,0.0232372269192017
Random - Small Var,MM-Remax,0.00018364353371222767,0.0005405837210186898,8.446547772666867e-05,-0.1690119817752569,0.505642139078532,0.04391212371065416,0.0232372269192017
Random - Small Var,Probit,0.00018491522587880116,2.7459213309625215e-05,,-0.1690119817752569,0.505642139078532,0.04391212371065416,0.0232372269192017
Random - Small Var,LL-Softmax,0.0005432978377374897,0.0002974581164694132,7.351129746527516e-05,0.09733875438031533,0.707908218878928,0.03525390671347455,0.028800980824848808
